period,department,account,budget_amount,actual_amount,variance_amount,variance_rate,business_driver,remark
2026-03,销售部,销售收入,5000000,4300000,-700000,-14.00%,重点客户订单延期,销售收入低于预算且部分客户回款延迟
2026-03,销售部,渠道销售收入,1800000,1600000,-200000,-11.11%,渠道转化率低于预期,新渠道线索质量不足
2026-03,市场部,广告费,600000,820000,220000,36.67%,季度促销投放加码,广告费超预算需复盘投放 ROI
2026-03,市场部,品牌活动费,300000,280000,-20000,-6.67%,线下活动缩减,活动场次少于计划
2026-03,人力资源部,人力成本,2200000,2480000,280000,12.73%,新增岗位及绩效奖金,人力成本超预算
2026-03,人力资源部,培训费,160000,95000,-65000,-40.63%,培训计划延期,培训费低于预算
2026-03,行政部,差旅费,280000,190000,-90000,-32.14%,客户拜访改为线上会议,差旅费低于预算
2026-03,技术部,云服务费,450000,610000,160000,35.56%,数据处理量上升,云服务费超预算需检查资源用量
2026-03,技术部,软件订阅费,180000,195000,15000,8.33%,新增研发工具账号,小幅超预算
2026-03,采购部,采购成本,1200000,1390000,190000,15.83%,核心原材料价格上涨,采购成本超预算需复核采购价格
2026-03,客服部,外包服务费,320000,350000,30000,9.38%,工单量增加,旺季服务压力上升
2026-03,客服部,售后费用,260000,340000,80000,30.77%,退换货和维修单增加,售后费用超预算
2026-03,财务部,银行手续费,50000,62000,12000,24.00%,跨境收款笔数增加,费用高于预算
2026-03,运营部,物流费用,700000,760000,60000,8.57%,补发订单增加,需跟进售后原因
2026-03,销售部,应收回款,4200000,3500000,-700000,-16.67%,客户付款审批延迟,回款延迟影响经营现金流
